Subject Bloc Emo Cond Treat Perf
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 1
CAN unpleasant neg go OF 0
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 1
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neuneg go OF 0
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neg nogo OF 1
CAN unpleasant neuneg nogo OF 1
CAN unpleasant neuneg nogo OF 1
CAN unpleasant neuneg nogo OF 1
CAN unpleasant neuneg nogo OF 1
CAN unpleasant neuneg nogo OF 1
CAN unpleasant neuneg nogo OF 1
